Epoch  85 | Time     4 | Train Loss 5.4905 | Test Loss 5.453 | Test Error 99.92
Epoch  86 | Time     4 | Train Loss 5.4806 | Test Loss 5.433 | Test Error 99.92
Epoch  87 | Time     4 | Train Loss 5.5028 | Test Loss 5.415 | Test Error 99.88
Epoch  88 | Time     4 | Train Loss 5.4522 | Test Loss 5.411 | Test Error 99.88
Epoch  89 | Time     4 | Train Loss 5.4673 | Test Loss 5.406 | Test Error 99.88
Epoch  90 | Time     4 | Train Loss 5.4104 | Test Loss 5.402 | Test Error 99.86
Epoch  91 | Time     4 | Train Loss 5.4591 | Test Loss 5.394 | Test Error 99.87
Epoch  92 | Time     4 | Train Loss 5.4102 | Test Loss 5.392 | Test Error 99.88
Epoch  93 | Time     4 | Train Loss 5.4255 | Test Loss 5.385 | Test Error 99.85
Epoch  94 | Time     5 | Train Loss 5.4004 | Test Loss 5.371 | Test Error 99.85
Epoch  95 | Time     5 | Train Loss 5.4023 | Test Loss 5.358 | Test Error 99.82
Epoch  96 | Time     5 | Train Loss 5.3525 | Test Loss 5.360 | Test Error 99.83
Epoch  97 | Time     4 | Train Loss 5.4056 | Test Loss 5.365 | Test Error 99.86
Epoch  98 | Time     4 | Train Loss 5.3610 | Test Loss 5.363 | Test Error 99.80
Epoch  99 | Time     4 | Train Loss 5.3861 | Test Loss 5.362 | Test Error 99.80
Epoch 100 | Time     4 | Train Loss 5.3507 | Test Loss 5.372 | Test Error 99.83
