Epoch 126 | Time     4 | Train Loss 5.2887 | Test Loss 5.387 | Test Error 99.69
Epoch 151 | Time     4 | Train Loss 3.3828 | Test Loss 5.361 | Test Error 100.00
Epoch 127 | Time     4 | Train Loss 5.2523 | Test Loss 5.386 | Test Error 99.69
Epoch 152 | Time     4 | Train Loss 3.3728 | Test Loss 5.361 | Test Error 100.00
Epoch 128 | Time     4 | Train Loss 5.1880 | Test Loss 5.379 | Test Error 99.67
Epoch 153 | Time     4 | Train Loss 3.3608 | Test Loss 5.360 | Test Error 100.00
Epoch 129 | Time     5 | Train Loss 5.2359 | Test Loss 5.373 | Test Error 99.66
Epoch 154 | Time     4 | Train Loss 3.3585 | Test Loss 5.360 | Test Error 100.00
Epoch 130 | Time     4 | Train Loss 5.2287 | Test Loss 5.361 | Test Error 99.61
Epoch 155 | Time     4 | Train Loss 3.3852 | Test Loss 5.359 | Test Error 100.00
Epoch 131 | Time     4 | Train Loss 5.1609 | Test Loss 5.353 | Test Error 99.56
Epoch 156 | Time     4 | Train Loss 3.3417 | Test Loss 5.358 | Test Error 100.00
Epoch 132 | Time     5 | Train Loss 5.1593 | Test Loss 5.353 | Test Error 99.54
Epoch 157 | Time     4 | Train Loss 3.3175 | Test Loss 5.357 | Test Error 100.00
Epoch 133 | Time     4 | Train Loss 5.1841 | Test Loss 5.346 | Test Error 99.57
Epoch 158 | Time     4 | Train Loss 3.3376 | Test Loss 5.355 | Test Error 100.00
Epoch 134 | Time     4 | Train Loss 5.1241 | Test Loss 5.336 | Test Error 99.53
Epoch 159 | Time     4 | Train Loss 3.3279 | Test Loss 5.354 | Test Error 100.00
Epoch 135 | Time     4 | Train Loss 5.1774 | Test Loss 5.339 | Test Error 99.56
Epoch 160 | Time     4 | Train Loss 3.3387 | Test Loss 5.351 | Test Error 100.00
Epoch 136 | Time     5 | Train Loss 5.1221 | Test Loss 5.346 | Test Error 99.58
Epoch 161 | Time     4 | Train Loss 3.3381 | Test Loss 5.348 | Test Error 100.00
Epoch 137 | Time     5 | Train Loss 5.1962 | Test Loss 5.346 | Test Error 99.62
Epoch 162 | Time     4 | Train Loss 3.3411 | Test Loss 5.344 | Test Error 100.00
Epoch 138 | Time     4 | Train Loss 5.1295 | Test Loss 5.340 | Test Error 99.58
Epoch 163 | Time     4 | Train Loss 3.3336 | Test Loss 5.340 | Test Error 100.00
Epoch 139 | Time     4 | Train Loss 5.0975 | Test Loss 5.338 | Test Error 99.58
Epoch 164 | Time     4 | Train Loss 3.3338 | Test Loss 5.338 | Test Error 100.00
Epoch 140 | Time     4 | Train Loss 5.1315 | Test Loss 5.341 | Test Error 99.57
Epoch 165 | Time     4 | Train Loss 3.2731 | Test Loss 5.336 | Test Error 100.00
Epoch 141 | Time     4 | Train Loss 5.1662 | Test Loss 5.350 | Test Error 99.63
Epoch 166 | Time     4 | Train Loss 3.2734 | Test Loss 5.335 | Test Error 100.00
Epoch 142 | Time     4 | Train Loss 5.0937 | Test Loss 5.357 | Test Error 99.64
Epoch 167 | Time     4 | Train Loss 3.3400 | Test Loss 5.333 | Test Error 100.00
Epoch 143 | Time     4 | Train Loss 5.1444 | Test Loss 5.363 | Test Error 99.65
Epoch 168 | Time     4 | Train Loss 3.2695 | Test Loss 5.333 | Test Error 100.00
Epoch 144 | Time     4 | Train Loss 5.1252 | Test Loss 5.355 | Test Error 99.64
Epoch 169 | Time     4 | Train Loss 3.2887 | Test Loss 5.332 | Test Error 100.00
Epoch 145 | Time     5 | Train Loss 5.1359 | Test Loss 5.355 | Test Error 99.68
